Weighted ABs,Weighted Hits,Weighted 2Bs,Weighted 3Bs,Weighted HRs,Weighted BBs,Weighted SBs,Avg Annual
222.0,63.0,14.0,0.0,10.0,18.0,3.0,564500
941.0,242.75,39.75,4.25,35.0,84.25,2.0,563560
51.5,13.0,0.0,2.25,0.0,10.25,0.0,563500
384.0,98.0,15.0,1.0,17.0,35.0,1.0,561900
180.0,36.75,9.0,0.0,4.0,13.5,5.0,561500
350.5,89.5,23.75,1.0,1.5,33.25,12.0,561500
512.5,129.5,20.25,2.0,9.0,55.25,35.0,561500
520.5,131.0,28.5,5.0,22.0,49.25,10.25,561000
284.0,89.25,13.75,1.0,14.0,33.5,4.0,560400
486.75,123.0,21.75,6.0,14.25,28.25,6.0,560400
450.75,122.75,26.5,2.75,19.75,40.0,5.0,560200
383.25,105.5,24.0,0.0,10.5,27.5,2.0,560100
273.5,73.25,7.0,2.0,1.0,32.0,12.75,560000
51.5,10.5,3.0,0.0,0.0,1.5,0.0,560000
467.75,94.75,18.0,3.0,41.75,78.75,7.75,560000
288.0,79.5,17.0,0.0,4.0,9.0,0.0,560000
328.75,90.25,13.0,0.0,2.75,48.5,0.0,560000
656.75,173.0,24.5,4.25,18.0,47.25,20.0,559600
777.75,217.5,44.0,0.0,34.75,32.0,0.0,559200
134.0,31.0,9.0,4.0,4.0,7.0,1.0,559200
320.5,70.75,15.5,0.0,15.25,26.5,2.5,559000
191.0,42.0,14.0,0.0,1.0,11.0,1.0,559000
102.25,24.0,4.25,0.0,5.75,9.25,0.75,558600
219.25,39.25,10.25,0.0,4.25,6.0,1.0,558400
545.0,146.75,28.5,5.0,11.75,40.5,4.0,558100
68.5,10.0,3.25,0.0,0.75,3.75,0.0,558000
375.5,102.0,12.25,4.0,5.75,30.0,12.25,557900
199.0,45.5,9.5,0.0,3.75,26.75,1.0,557471
33.75,4.75,1.0,0.0,2.0,6.0,0.0,557100
514.75,134.75,21.0,7.75,13.0,35.0,18.5,556900
553.5,162.75,26.75,4.0,26.25,33.0,1.0,556500
341.25,94.5,26.5,4.0,10.0,27.75,4.0,556200
231.75,61.0,11.75,1.0,5.75,37.5,2.0,555968
241.0,72.0,21.0,2.0,4.0,12.0,0.0,555000
217.0,62.0,9.0,5.0,6.0,21.0,8.0,555000
242.0,66.75,15.75,2.0,8.0,42.75,4.0,555000
33.0,10.0,2.0,0.0,0.0,4.0,0.0,555000
782.0,195.75,47.75,6.0,44.25,75.25,13.0,555000
213.25,49.0,8.75,2.0,8.0,29.75,3.0,555000
96.25,27.25,3.75,0.0,0.75,4.75,0.75,554000
282.5,72.0,24.0,1.75,13.0,24.5,6.0,553900
471.25,112.75,27.25,1.0,29.0,27.75,3.0,553800
173.5,43.75,5.0,1.0,1.0,12.25,1.0,553600
405.0,85.25,17.75,0.0,18.0,23.0,4.0,553100
313.0,90.0,14.0,4.0,12.0,20.0,1.0,553000
397.75,102.75,13.25,7.0,4.25,38.0,28.0,553000
141.0,37.0,4.0,0.0,9.0,23.0,2.0,553000
170.0,44.0,7.0,0.0,18.0,37.0,2.0,552500
202.0,43.5,8.75,1.0,0.0,21.5,5.5,552500
0.0,0.0,0.0,0.0,0.0,0.0,0.0,552450
1.5,0.0,0.0,0.0,0.0,0.0,1.5,552000
301.0,50.0,11.0,3.0,6.0,19.0,8.0,552000
189.75,48.75,12.0,1.5,7.5,19.5,3.75,551600
174.5,46.75,12.75,0.0,6.0,13.0,2.0,551300
58.0,9.0,4.0,0.0,0.0,5.0,1.0,551300
299.0,72.0,15.0,2.0,8.0,26.0,18.0,551200
325.75,71.75,12.75,0.0,12.0,23.25,1.75,550700
62.0,14.0,4.0,0.0,4.0,4.0,1.0,550100
325.0,86.75,15.5,1.0,4.0,28.75,0.0,550100
288.0,71.5,16.5,0.75,3.75,37.0,0.0,550000
320.25,76.0,18.0,1.0,15.75,20.25,2.0,550000
28.25,6.25,0.75,1.0,1.0,1.75,0.0,550000
196.25,50.75,11.75,0.0,13.75,7.0,0.0,550000
382.75,94.75,19.25,2.5,2.25,48.75,3.0,550000
162.0,28.5,5.25,1.0,3.0,9.0,6.0,549400
165.0,41.0,4.0,4.0,4.0,3.0,7.0,548940
202.0,42.0,2.0,2.0,4.0,18.0,2.0,548500
32.0,11.0,1.0,0.0,4.0,0.0,0.0,548500
218.0,45.0,7.0,2.0,5.0,29.0,1.0,548300
218.0,45.0,7.0,2.0,5.0,29.0,1.0,548300
135.25,36.75,9.0,0.0,3.0,14.5,0.0,548300
171.0,44.0,8.0,1.0,3.0,31.0,1.0,548000
107.0,24.0,5.0,0.0,6.0,14.0,0.0,547990
122.0,31.75,6.0,0.0,4.0,3.75,1.0,547800
54.0,12.0,2.0,1.0,0.0,8.0,0.0,547600
117.0,33.0,5.0,0.0,3.0,15.0,0.0,547500
290.0,68.0,23.0,2.0,14.0,32.0,0.0,547500
204.75,50.5,2.75,0.0,24.0,27.25,0.0,547500
59.0,15.0,3.0,0.0,1.0,4.0,0.0,547500
20.0,6.0,1.0,0.0,0.0,0.0,0.0,547500
46.0,9.0,1.0,3.0,0.0,6.0,0.0,547500
119.0,35.5,6.0,0.0,5.0,3.75,0.0,547000
27.0,6.0,0.0,1.0,0.0,5.0,1.0,547000
19.0,3.0,1.0,0.0,0.0,5.0,0.0,547000
85.0,22.75,1.75,0.0,1.75,5.5,1.5,546900
167.0,33.0,6.0,0.0,9.0,14.0,0.0,546800
30.0,8.0,3.0,0.0,0.0,0.0,0.0,546500
18.0,6.0,2.0,0.0,2.0,3.0,0.0,546500
92.0,21.0,3.0,3.0,3.0,6.0,1.0,546500
24.0,6.0,1.0,0.0,1.0,3.0,0.0,546400
11.0,3.0,0.0,0.0,0.0,0.0,0.0,546000
37.0,6.75,1.0,0.0,0.0,3.75,0.0,545700
9.0,3.0,1.0,0.0,1.0,0.0,0.0,545700
70.0,15.0,4.0,1.0,0.0,16.0,1.0,545500
8.0,1.0,1.0,0.0,0.0,0.0,0.0,545400
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
84.0,22.0,7.0,1.0,0.0,10.0,0.0,545000
11.0,1.0,0.0,0.0,0.0,0.0,0.0,545000
43.0,14.0,5.0,1.0,0.0,1.0,0.0,545000
228.0,57.0,13.0,1.0,3.0,12.0,0.0,545000
47.0,5.0,0.0,1.0,2.0,7.0,1.0,545000
113.75,28.0,5.0,3.0,0.75,3.0,0.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
121.0,36.0,7.0,0.0,7.0,15.0,1.0,545000
58.0,15.0,2.0,0.0,3.0,4.0,4.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,545000
