,Espn_id,War_salary_prediction
582,32831,1440612
583,35021,5483777
584,29651,1788071
585,31208,8200279
586,34945,5641713
587,32470,1693310
588,32811,3367433
589,31145,2482990
590,32211,4472986
591,33305,5578539
592,32422,9811228
593,29357,4599335
594,33628,5231079
595,33057,8737262
596,32684,6431394
597,33416,2419816
598,32890,9842815
599,32202,3493782
600,35970,524582
601,31618,6526156
602,33685,2640927
603,34895,4220288
604,33066,1788071
605,33138,4757271
606,31942,-1
607,33671,3904416
608,31190,-1
609,32788,4441399
610,33859,5009969
611,34873,6115522
612,32820,3588543
613,32123,2482990
614,34872,3999177
615,34401,-1
616,32153,3904416
617,32499,4220288
618,32660,2230293
619,29550,-1
620,32646,3019973
621,31360,5578539
622,33199,-1
623,31738,4472986
624,31275,4125526
625,32141,2388229
626,31041,3114735
627,32771,7789645
628,30268,3904416
629,33394,3999177
630,31238,2325054
631,32636,3114735
632,32818,4788858
633,32618,2009182
634,34254,3588543
635,32530,5167905
636,33970,6020760
637,33188,1851246
638,31901,2956799
639,31878,4536160
640,33594,2482990
641,34868,3051561
642,32161,2419816
643,32769,7915994
644,33271,3209497
645,32549,3746480
646,33748,5894411
647,31824,-1
648,32631,2009182
649,31477,2546165
650,32665,1535374
651,30955,3367433
652,34845,2419816
653,33659,4378224
654,35804,2167118
655,36036,2956799
656,33132,3651718
657,32132,3209497
658,30429,3209497
659,33641,2419816
660,33870,2103944
661,33599,5578539
662,36023,4441399
663,32760,7221075
664,33351,4536160
665,36197,3430607
666,33190,335059
667,33665,2482990
668,30817,3525369
669,33513,5799650
670,32159,4757271
671,30074,4757271
672,36157,4220288
673,33950,-1
674,31595,-1
675,32329,-1
676,33319,3588543
677,36133,3588543
678,33741,4852033
679,33237,3114735
680,33783,7063139
681,33856,6905203
682,33658,3904416
683,32856,4788858
684,32789,4630922
685,33123,4283463
686,33843,2640927
687,32201,2325054
688,33614,2325054
689,34871,3904416
690,35124,5799650
691,33203,7063139
692,33256,2325054
693,32150,9369006
694,32151,7694883
695,35902,4062352
696,32697,2325054
697,33860,3588543
698,33984,4946794
699,33627,1061565
700,33368,2956799
701,33794,3430607
702,31615,-1
703,36056,6747266
704,34876,3999177
705,33431,2167118
706,33426,2956799
707,32174,2419816
708,36035,2862037
709,33205,3999177
710,31188,1630135
711,-1,-1
712,35009,3114735
713,32168,2482990
714,33820,-1
715,33266,2009182
716,32933,5894411
717,32121,3904416
718,31910,1630135
719,34862,3177910
720,32787,3588543
721,35291,5641713
722,33411,-1
723,33083,1535374
724,33926,3367433
725,32210,2798863
726,36139,4536160
727,34880,2419816
728,34064,113948
729,34913,1472199
730,36009,1851246
731,32956,3904416
732,32173,-1
733,33121,2577752
734,32255,2704101
735,33878,903629
736,33713,4852033
737,36045,4536160
738,36071,4536160
739,33770,2735688
740,32056,2577752
741,35048,3051561
742,33158,-1
743,36061,429821
744,33796,2482990
745,37515,2482990
746,33892,2230293
747,33589,2735688
748,33280,2546165
749,33771,3999177
750,33638,-1
